Labels of each cluster:
Cluster 0's label is None
Cluster 1's label is 9
Cluster 2's label is 1
Cluster 3's label is 5
Cluster 4's label is 5
Cluster 5's label is 9
Cluster 6's label is None
Cluster 7's label is 2
Cluster 8's label is 7
Cluster 9's label is 9
Cluster 10's label is 2
Cluster 11's label is 6
Cluster 12's label is 2
Cluster 13's label is 1
Cluster 14's label is 4
Cluster 15's label is 4
Cluster 16's label is 8
Cluster 17's label is None
Cluster 18's label is 6
Cluster 19's label is None
Cluster 20's label is 2
Cluster 21's label is None
Cluster 22's label is 4
Cluster 23's label is 3
Cluster 24's label is 1
Cluster 25's label is 7
Cluster 26's label is 0
Cluster 27's label is 9
Cluster 28's label is 7
Cluster 29's label is 8
